Identifier,Country,ISO,Year,Population,Population Density,Migrant Stock,Migrant Stock Ratio,Net migration,Labor Force,TFR,Unemployment Rate,GEE to GGE,GEE to GDP Ratio,GDP,GDP per capita,GDP Deflator,"GDP per capita, PPP",GNI,GNI per capita,"GNI per capita, PPP",Debt to GDP Ratio,CHE per capita,CHE to GDP Ratio,GGHED to GDP Ratio,GGHED to CHE Ratio,GGHED to GGE Ratio,GGHED per capita,PVTD to CHE Ratio,PVTD per capita,EXT to CHE Ratio,EXT per capita,OOP to CHE Ratio,OOP per capita,Beds,MentalHospitals,Hospitals,MMR,SBR,NMR,IMR,U5MR,MR5214,ADMR,NCDMR,AMR,HR,SR,RTDR,LE,HALE,YLLM,YHLD,DALYS,BCG,Pneumonia,Polio,Rotavirus,Tetanus,Skilled_Birth_Coverage,Family_Planning_Coverage,SCI_SUD,SCI_ID,SCI_NCD,SCI_RMNC,SCI_SCA,UHC_SCI,Dentists_Number,Dentists,Doctors_Number,Doctors,Nursing_Midwifery_Number,Nursing_Midwifery,Pharmacists_Number,Pharmacists
GNB2000,Guinea-Bissau,GNB,2000,1234741,43.90970839,20450,1.7,-6971,436113,5.786,3.358,,,391345597.5,316.945495,-22.93231938,1013.973492,378914658.5,410,980,,13.28,4.19,0.59,14.16,2.52,1.88,67.85,9.01,17.99,2.39,60.71,8.06,,,,1295,51.94,55.16,100.3,173.8,30.48,,855.6,,12.91,8.25,,50.2,43.95,,,,77,,52,,49,32,,,4,52,53,31,25,,,,,,,,
GNB2001,Guinea-Bissau,GNB,2001,1261273,44.85323613,,,-6239,446544,5.688,2.958,,,412610871.5,327.138432,3.762037469,1063.572283,400600588.5,350,1030,,13.51,4.13,0.48,11.66,2.52,1.57,70.92,9.58,17.42,2.35,63.46,8.57,,,,1222,50.46,54.13,97.51,168.4,29.52,,837.6,,12.59,8.19,,50.64,44.35,187708.0391,19437.80352,207145.8344,79,,56,,60,,,,4,53,54,31,25,,,,,,,,
GNB2002,Guinea-Bissau,GNB,2002,1289307,45.85017781,,,-5712,457500,5.634,3.146,,,466773711.2,362.0345746,3.374383225,1095.223058,458016030.7,330,1070,,14.02,3.87,0.35,9.16,2.52,1.28,64.14,8.99,26.7,3.74,57.39,8.05,,,,1141,48.69,53.27,94.54,162.8,28.66,,812.3,,12.32,7.77,,51.04,44.75,,,,82,,60,,62,,,,5,54,54,31,26,,,,,,,,
GNB2003,Guinea-Bissau,GNB,2003,1318806,46.89921764,,,-5487,468941,5.577,3.169,,,553614800.1,419.7848661,-0.570313376,1088.742657,544783077.4,360,1070,,14.7,3.5,0.43,12.27,2.52,1.8,64.31,9.45,23.42,3.44,57.54,8.46,,,,1069,47.29,52.47,91.51,157,27.81,,791.8,,11.89,7.33,,51.44,45.15,,,,84,,65,,62,,,,9,55,55,31,30,,,,,,,,
GNB2004,Guinea-Bissau,GNB,2004,1349563,47.99299431,,,-5144,480912,5.5,3.226,,,582169841.3,431.3765577,-5.48079612,1105.343228,572534887.1,410,1090,,18.42,4.27,0.58,13.57,2.52,2.5,60.23,11.1,26.19,4.83,53.89,9.93,,,,979.5,45.67,51.62,88.33,151.1,26.93,,797.8,345.9,11.88,7.51,,51.77,45.5,,,,87,,69,,64,,,,7,56,55,31,29,3,0.02,188,1.39,1072,7.94,,
GNB2005,Guinea-Bissau,GNB,2005,1381585,49.13175676,20902,1.5,-4662,493254,5.46,3.184,,,639776040.7,463.0739627,3.114412633,1186.626314,630958446.6,470,1170,,21,4.53,0.51,11.22,2.52,2.36,59.24,12.44,29.53,6.2,53.01,11.13,,,,956.3,43.81,50.75,84.95,144.9,26.06,,765.6,345.7,11.79,7.39,,52.22,45.91,,,,89,,73,,65,,,,7,57,56,31,29,,,,,,,,
GNB2006,Guinea-Bissau,GNB,2006,1415303,50.33083215,,,-4142,506064,5.406,3.143,,,634781901.3,448.5130755,-4.243386129,1225.918246,625948305.3,470,1210,,22.78,5.08,0.5,9.84,2.52,2.24,57.42,13.08,32.74,7.46,51.37,11.7,,,,831.5,41.77,49.82,81.5,138.6,25.18,,767.1,343.2,11.51,7.35,,52.75,46.37,159520.8047,18459.6363,177980.4418,90,,74,,69,31,,,16,58,56,30,35,,,,,,,,
GNB2007,Guinea-Bissau,GNB,2007,1450986,51.59978663,,,-3676,519644,5.365,3.125,,,753162998,519.0697898,5.990265796,1259.605607,743262998,480,1240,,25.57,4.93,0.6,12.14,2.52,3.1,53.73,13.74,34.13,8.73,48.08,12.29,,,,791.6,39.75,48.7,77.96,132.2,24.29,15.51,757.5,336.1,11.01,7.27,,53.47,47,,,,92,,76,,92,,,,15,59,56,29,35,,,,,,,,
GNB2008,Guinea-Bissau,GNB,2008,1488054,52.91799431,,,-3313,533881,5.266,3.157,,,952667544,640.2103311,12.7627327,1308.535567,937967379.9,540,1290,,34.27,5.35,0.55,10.26,2.52,3.51,53.26,18.25,36.49,12.5,47.65,16.33,,,,802,38.12,47.45,74.5,126.1,23.32,15.03,747.6,326.6,10.94,7.3,,54.2,47.62,,,,93,,77,,94,,,,14,60,56,28,34,2,0.01,78,0.52,953,6.4,11,0.07
GNB2009,Guinea-Bissau,GNB,2009,1526377,54.28083215,,,-2821,548777,5.176,3.163,,,890167833.4,583.1900201,-3.82520779,1314.970787,879057739.2,590,1300,,26.89,4.61,0.52,11.28,2.52,3.03,59.25,15.93,29.47,7.92,53.01,14.25,10,,,752.9,37.11,46.1,71.08,120,22.35,14.54,748.8,321.9,10.65,7.27,,54.72,48.06,,,,94,,78,,94,,,,17,61,56,29,36,7,0.05,124,0.81,1042,6.83,9,0.06
