Identifier,Country,ISO,Year,Population,Population Density,Migrant Stock,Migrant Stock Ratio,Net migration,Labor Force,TFR,Unemployment Rate,GEE to GGE,GEE to GDP Ratio,GDP,GDP per capita,GDP Deflator,"GDP per capita, PPP",GNI,GNI per capita,"GNI per capita, PPP",Debt to GDP Ratio,CHE per capita,CHE to GDP Ratio,GGHED to GDP Ratio,GGHED to CHE Ratio,GGHED to GGE Ratio,GGHED per capita,PVTD to CHE Ratio,PVTD per capita,EXT to CHE Ratio,EXT per capita,OOP to CHE Ratio,OOP per capita,Beds,MentalHospitals,Hospitals,MMR,SBR,NMR,IMR,U5MR,MR5214,ADMR,NCDMR,AMR,HR,SR,RTDR,LE,HALE,YLLM,YHLD,DALYS,BCG,Pneumonia,Polio,Rotavirus,Tetanus,Skilled_Birth_Coverage,Family_Planning_Coverage,SCI_SUD,SCI_ID,SCI_NCD,SCI_RMNC,SCI_SCA,UHC_SCI,Dentists_Number,Dentists,Doctors_Number,Doctors,Nursing_Midwifery_Number,Nursing_Midwifery,Pharmacists_Number,Pharmacists
MOZ2000,Mozambique,MOZ,2000,18129653,23.05457031,195702,1.1,-104476,8468296,5.83,2.832,,,5930685215,327.1262398,11.61555287,471.9673298,5737774666,330,460,,7.01,2.14,1.09,50.69,6.32,3.55,39.84,2.79,9.47,0.66,38.88,2.73,,,,525.4,26.79,44.23,106.1,163,33.05,,570.8,,6.49,6.5,,50.95,43.55,,,,84,,69,,75,,,,7,40,50,19,23,,,,,5078,2.8,,
MOZ2001,Mozambique,MOZ,2001,18537729,23.57350009,,,-105130,8679877,5.755,2.838,,,5650154067,304.7921386,14.78207109,532.6273102,5424314699,330,510,,8.54,2.8,1.31,46.83,6.32,4,27.42,2.34,25.75,2.2,26.69,2.28,,,,450.4,25.96,41.71,100.1,154.2,31.07,,552.8,,6.75,6.28,,51.32,43.89,187288.7578,22172.72423,209461.4819,86,,72,,68,,,,7,41,51,19,23,,,,,5117,2.76,,
MOZ2002,Mozambique,MOZ,2002,18958338,24.10836746,,,-103102,8900839,5.667,2.902,,,5950769427,313.8866617,9.831877435,580.0409214,5347593595,300,520,,10,3.19,1.18,36.9,6.32,3.69,28.62,2.86,34.47,3.45,27.98,2.8,,,,375.2,25.24,39.38,94.52,146,29.21,,554.3,,6.53,6.36,,51.47,44.11,,,,87,,76,,64,,,,6,42,52,19,23,,,,,5622,2.97,,
MOZ2003,Mozambique,MOZ,2003,19392475,24.6604377,,,-99484,9131272,5.6,2.857,,,6583526861,339.4887378,3.640147318,619.9875107,6418020936,330,600,,11.04,3.25,1.18,36.15,6.32,3.99,21.84,2.41,42,4.64,21.22,2.34,,,,338.1,24.54,37.26,89.46,138.5,27.46,,549.6,,6.25,6.26,,51.67,44.4,,,,90,,67,,60,48,42.3,,6,44,53,19,23,,,,,5752,2.97,,
MOZ2004,Mozambique,MOZ,2004,19840313,25.22993082,,,-100824,9280551,5.551,2.953,18.00153923,3.198390007,7937255565,400.0569732,5.794264605,673.3457173,7765812073,380,660,,14.12,3.53,1.12,31.79,6.32,4.49,16.19,2.29,52.03,7.35,15.61,2.2,,,,300.2,23.63,35.39,84.64,131.6,25.83,,552.2,377.2,6.03,6.28,,51.82,44.62,,,,90,,69,,62,,,,7,45,54,20,24,16,0.01,514,0.26,6500,3.28,14,0.01
MOZ2005,Mozambique,MOZ,2005,20304569,25.82030189,268694,1.3,-95770,9434822,5.5,3.035,22.7181797,3.858340025,8868504900,436.7738562,7.331047983,721.4117619,8508662135,420,690,,18.41,4.21,1.43,33.84,8.4,6.23,12.92,2.38,53.25,9.8,12.32,2.27,,,,279.3,22.64,33.8,80.18,125,24.28,,558.9,387.5,5.75,6.45,,51.93,44.78,,,,90,,71,,77,,,,9,46,55,20,26,,,,,6771,3.34,,
MOZ2006,Mozambique,MOZ,2006,20787087,26.43389583,,,-95333,9594635,5.452,3.037,18.55003929,3.735929966,9509835537,457.4876478,7.46134454,798.3876676,8875382893,450,750,,18.05,3.95,1.14,28.95,5.67,5.23,13.39,2.42,57.66,10.41,12.75,2.3,8.51,,,274.1,21.69,32.38,75.72,118.2,22.81,,592.9,392.3,5.17,6.88,,52.16,45.02,160619.4453,21027.9922,181647.4355,90,,73,,81,,,,11,47,56,20,27,,,548,0.26,7131,3.43,,
MOZ2007,Mozambique,MOZ,2007,21287635,27.07041761,,,-100490,9755517,5.466,3.082,,,10811456006,507.8749239,7.436278404,861.9876827,10219878882,480,810,,19.3,3.8,1.17,30.85,5.6,5.95,13.12,2.53,56.03,10.81,12.02,2.32,7.48,,,296.8,20.95,31.19,69.74,110,21.42,12.28,653,392.6,4.92,7.58,,52.59,45.42,,,,90,,75,,82,,,,15,48,57,20,30,,,,,7862,3.69,,
MOZ2008,Mozambique,MOZ,2008,21819036,27.74617361,,,-102534,9917392,5.598,3.112,,,12920340965,592.1591112,5.152804075,916.1558502,12278466413,530,870,,24.49,4.13,1.21,29.19,5.67,7.15,12.53,3.07,58.27,14.27,11.2,2.74,7.95,,,328.4,20.39,30.17,67.03,103.7,20.1,11.66,671.2,388.9,4.87,8.12,,53.06,45.88,,,,90,,74,,83,55,,,20,49,58,21,33,,,,,8650,3.96,,
MOZ2009,Mozambique,MOZ,2009,22391745,28.47445891,,,-100625,10084170,5.681,3.207,,,12263894790,547.6971442,1.471373232,951.4854538,11982083701,570,930,,27.69,5.06,1.28,25.23,4.97,6.99,9.58,2.65,65.19,18.05,8.24,2.28,8.39,,,312.7,20,29.23,63.66,97.52,18.87,11.06,693.8,390.9,4.64,8.61,,53.33,46.15,,,,90,,74,,83,,,,21,50,55,21,33,53,0.02,1042,0.47,9041,4.04,51,0.02
MOZ2010,Mozambique,MOZ,2010,22999235,29.24697347,306471,1.3,-97079,10258571,5.66,3.259,20.16634372,5.245397895,11411894724,496.1858394,7.645227987,1000.241149,11052119445,550,970,,26.26,5.29,1.24,23.5,4.67,6.17,8.5,2.23,68,17.86,7.11,1.87,8.5,,,271.1,19.66,28.41,63.48,94.97,17.73,10.52,717.5,394.8,4.58,9.1,,53.33,46.19,,,,90,,73,,83,,,,21,51,53,22,33,60,0.03,1145,0.5,9507,4.13,48,0.02
MOZ2011,Mozambique,MOZ,2011,23649039,30.07329663,,,-63638,10455626,5.599,3.295,19.09857377,5.53052494,14619279989,618.1764929,2.34836229,1063.655433,14364079955,570,1050,,30.43,4.92,1.26,25.51,4.34,7.76,8.35,2.54,66.14,20.12,6.72,2.04,8.46,,,236.6,19.35,27.74,59.71,90.47,16.66,10.03,727.6,396.5,4.49,9.34,,53.53,46.38,138856.8555,20146.2735,159003.1233,91,,76,,83,54,36.5,,25,52,51,27,37,75,0.03,1268,0.54,9501,4.02,56,0.02
MOZ2012,Mozambique,MOZ,2012,24337846,30.94921794,,,-63131,10674835,5.518,3.304,19.76724052,5.557509899,16688114144,685.6857482,3.175234574,1075.877861,16612647549,630,1070,,35.25,5.14,1.24,24.04,4.39,8.47,17.58,6.2,58.39,20.58,5.55,1.96,8.58,,,191,19.16,27.21,57.46,86.3,15.68,15.6,730.4,397.2,4.46,9.3,,53.74,46.59,,,,92,,79,,83,,,,25,53,52,27,37,69,0.03,1358,0.56,10087,4.15,72,0.03
