Identifier,Country,ISO,Year,Population,Population Density,Migrant Stock,Migrant Stock Ratio,Net migration,Labor Force,TFR,Unemployment Rate,GEE to GGE,GEE to GDP Ratio,GDP,GDP per capita,GDP Deflator,"GDP per capita, PPP",GNI,GNI per capita,"GNI per capita, PPP",Debt to GDP Ratio,CHE per capita,CHE to GDP Ratio,GGHED to GDP Ratio,GGHED to CHE Ratio,GGHED to GGE Ratio,GGHED per capita,PVTD to CHE Ratio,PVTD per capita,EXT to CHE Ratio,EXT per capita,OOP to CHE Ratio,OOP per capita,Beds,MentalHospitals,Hospitals,MMR,SBR,NMR,IMR,U5MR,MR5214,ADMR,NCDMR,AMR,HR,SR,RTDR,LE,HALE,YLLM,YHLD,DALYS,BCG,Pneumonia,Polio,Rotavirus,Tetanus,Skilled_Birth_Coverage,Family_Planning_Coverage,SCI_SUD,SCI_ID,SCI_NCD,SCI_RMNC,SCI_SCA,UHC_SCI,Dentists_Number,Dentists,Doctors_Number,Doctors,Nursing_Midwifery_Number,Nursing_Midwifery,Pharmacists_Number,Pharmacists
ZAF2000,South Africa,ZAF,2000,47159719,38.87569677,997703,2.1,-136794,17579103,2.413,22.788,,4.908810139,1.51753E+11,3217.846934,9.182191416,8095.294289,1.48579E+11,3260,7930,,236.1,7.34,2.68,36.59,11.86,86.39,62.76,148.2,0.64,1.52,14.46,34.14,,,,174.7,20.74,13.53,46.9,71.07,10.31,,558.1,,43.77,13.13,,57.12,49.4,,,,89,,71,,68,,,,40,54,73,54,54,,,,,32399,6.87,,
ZAF2001,South Africa,ZAF,2001,47566800,39.21127039,,,-60793,17886684,2.373,22.652,20.47204971,4.636179924,1.3543E+11,2847.151919,7.800474963,8428.316817,1.31693E+11,3060,8200,,202.8,7.12,2.4,33.73,10.62,68.41,65.63,133.1,0.64,1.3,14.13,28.65,,,,192.2,20.12,12.96,47.61,74.3,10.89,,547.4,,43.84,13.25,,55.87,48.34,112131.6992,22232.04859,134363.7517,86,,71,,66,,,,41,54,73,53,54,,,,,32120,6.75,,
ZAF2002,South Africa,ZAF,2002,48019415,39.58437956,,,50313,18213750,2.324,22.579,20.09569931,4.54569006,1.29088E+11,2688.23676,12.53795791,8792.355886,1.26298E+11,2870,8600,,179.5,6.68,2.31,34.53,10.38,61.98,64.83,116.4,0.64,1.15,13.56,24.34,29.94,,,225.2,19.79,12.54,48.01,76.85,11.52,,585.3,,46.13,14.6,,54.32,47.07,,,,84,,70,,62,,,,43,55,74,53,55,,,,,32495,6.77,,
ZAF2003,South Africa,ZAF,2003,48500348,39.98083242,,,65604,18543438,2.358,22.679,19.59230042,4.352099895,1.97019E+11,4062.21756,6.395763587,9138.828239,1.9241E+11,3160,8930,,286,7.04,2.79,39.64,12.34,113.4,54.82,156.8,5.55,15.86,12.33,35.26,,,,245,19.52,12.31,48.65,79.28,12.16,,588.2,,43.58,15.76,,52.93,45.94,,,,81,,70,,61,,81.1,,44,55,75,54,56,,,,,33575,6.92,,
ZAF2004,South Africa,ZAF,2004,48991421,40.3856441,,,58924,18856474,2.436,22.567,19.93462944,4.508979797,2.55807E+11,5221.463337,6.04217159,9713.653485,2.51496E+11,4040,9550,,362.3,6.94,2.73,39.37,12.03,142.6,55.18,199.9,5.45,19.75,11.85,42.92,27.76,,,258.9,19.23,12.24,48.96,81.01,12.67,,588.5,504.7,43.34,16.07,,52.25,45.36,,,,78,,73,,60,,,,46,56,75,54,57,5577,1.14,34829,7.11,35266,7.2,11097,2.27
ZAF2005,South Africa,ZAF,2005,49490033,40.79667049,1513855,3.1,31286,19148046,2.512,22.472,19.9249897,4.524499893,2.88867E+11,5836.876633,5.597009781,10440.62751,2.83926E+11,5430,10260,,400.5,6.86,2.75,40,10.92,160.2,48.21,193.1,11.79,47.21,11.31,45.31,,,,278.8,18.93,12.29,47.88,80.27,12.95,,583.1,508.8,42.07,15.64,,52.03,45.16,,,,76,,75,,59,,,,49,56,76,54,58,,,,,37085,7.49,,
ZAF2006,South Africa,ZAF,2006,49998277,41.21563693,,,33159,19425615,2.548,22.304,18.00498962,4.526519775,3.03859E+11,6077.382934,6.064637015,11250.17956,2.98723E+11,6120,11060,,417.9,6.88,3.23,46.97,13.1,196.3,46.6,194.7,6.43,26.87,10.58,44.23,,,,283.4,18.54,12.44,45.97,77.55,12.96,,617.4,505.2,41.23,16.1,,52.11,45.21,139540.7891,23395.54298,162936.3313,79,,79,,74,,,,52,56,77,55,59,,,,,39305,7.86,,
ZAF2007,South Africa,ZAF,2007,50528584,41.65279081,,,36339,19701783,2.545,22.26,18.02706909,4.446670055,3.33077E+11,6591.85536,8.245764766,12046.60511,3.23309E+11,6440,11690,,455.2,6.91,3.3,47.79,13.51,217.5,44.91,204.4,7.3,33.22,9.7,44.17,23.38,,,271.9,18.31,12.61,43.82,71.87,12.71,15.02,621.7,488.6,39.6,15.96,,52.91,45.85,,,,79,,79,,72,,,,55,57,77,55,60,,,34324,6.79,40582,8.03,,
ZAF2008,South Africa,ZAF,2008,51114599,42.13586708,,,36869,19985153,2.679,22.407,17.90630913,4.374249935,3.16131E+11,6184.754743,7.850331729,12525.26303,3.07189E+11,6490,12170,,442.1,7.15,3.38,47.35,13.01,209.4,44.58,197.1,8.06,35.65,8.84,39.09,23.24,,,271.6,18.11,12.74,40.61,64.18,12.23,14.58,634.7,470.7,39.74,16.84,,53.91,46.67,,,,84,,77,,75,94,,,57,57,77,55,61,,,34687,6.79,43686,8.55,,
ZAF2009,South Africa,ZAF,2009,51728516,42.64194413,,,41528,19627941,2.501,23.523,18.30625916,4.761189938,3.29754E+11,6374.7056,8.663041832,12261.41159,3.23127E+11,6350,12010,,487.6,7.65,3.8,49.74,13.37,242.5,42.17,205.6,8.09,39.47,8.11,39.55,,,,241.1,17.96,12.73,37.69,57.03,11.59,14.05,627.4,446.3,37.77,16.41,,55.27,47.77,,,,82,10,75,17,75,,,,59,57,76,56,62,,,35707,6.9,48078,9.29,,
