iso_a3	Country	 Core HWF Density 2013	 Core HWF Density 2018	 Core HWF Density 2022	Other worforce Density 2013	Other worforce Density 2018	Other worforce Density 2022	Total workforce Density 2013	Total workforce Density 2018	Total workforce Density 2022
DZA	Algeria	2.93 	41.89 	49.17 	0.05 	57.07 	81.72 	2.98 	98.96 	130.90 
AGO	Angola	0.01 	19.34 	22.16 	0.23 	16.09 	16.30 	0.24 	35.43 	38.46 
BEN	Benin	7.69 	4.83 	8.28 	14.61 	9.79 	10.45 	22.30 	14.62 	18.73 
BWA	Botswana	36.94 	37.87 	37.03 	4.51 	30.54 	31.09 	41.45 	68.41 	68.12 
BFA	Burkina Faso	5.09 	9.63 	12.17 	2.60 	3.73 	4.66 	7.69 	13.36 	16.83 
BDI	Burundi	7.06 	9.16 	8.31 	0.04 	32.73 	32.68 	7.11 	41.90 	40.99 
CMR	Cameroon	10.32 	5.80 	8.34 	0.00 	6.72 	2.99 	10.32 	12.51 	11.33 
CPV	Cape Verde	13.17 	29.17 	62.96 	141.90 	92.38 	41.40 	155.07 	121.55 	104.36 
CAF	Central African Republic	2.46 	3.98 	2.41 	0.80 	2.02 	7.80 	3.26 	6.00 	10.21 
TCD	Chad	3.56 	4.48 	3.58 	1.26 	2.44 	19.13 	4.82 	6.92 	22.71 
COM	Comoros	6.46 	19.85 	22.33 	12.02 	15.65 	9.01 	18.49 	35.50 	31.33 
COG	Republic of Congo	9.47 	12.80 	13.05 	10.20 	6.08 	7.28 	19.66 	18.87 	20.33 
CIV	Ivory Coast	10.33 	11.55 	12.53 	2.19 	20.12 	13.39 	12.53 	31.67 	25.92 
COD	Democratic Republic of the Congo	9.27 	16.22 	14.28 	0.42 	9.86 	1.61 	9.68 	26.08 	15.89 
GNQ	Equatorial Guinea	0.00 	4.41 	10.63 	0.05 	13.24 	17.30 	0.05 	17.65 	27.93 
ERI	Eritrea	13.45 	18.57 	16.77 	0.00 	15.91 	21.33 	13.45 	34.48 	38.11 
SWZ	Eswatini	33.40 	48.00 	51.66 	41.68 	103.65 	88.54 	75.08 	151.65 	140.20 
ETH	Ethiopia	0.71 	9.79 	18.58 	0.05 	14.40 	15.25 	0.77 	24.19 	33.83 
GAB	Gabon	2.30 	39.06 	31.26 	6.81 	19.72 	25.85 	9.11 	58.78 	57.11 
GMB	Gambia	14.02 	9.34 	8.15 	4.72 	10.71 	26.02 	18.74 	20.05 	34.17 
GHA	Ghana	18.68 	46.41 	48.03 	8.86 	20.29 	22.61 	27.54 	66.70 	70.64 
GIN	Guinea	7.49 	8.90 	4.76 	6.06 	14.41 	13.05 	13.55 	23.31 	17.81 
GNB	Guinea-Bissau	7.27 	10.89 	12.88 	2.92 	32.02 	30.76 	10.19 	42.91 	43.64 
KEN	Kenya	11.66 	14.41 	24.52 	3.04 	18.43 	28.24 	14.70 	32.85 	52.76 
LSO	Lesotho	0.00 	52.87 	22.99 	1.04 	113.93 	102.69 	1.04 	166.80 	125.68 
LBR	Liberia	2.20 	22.91 	13.44 	4.60 	28.36 	43.56 	6.80 	51.27 	57.00 
MDG	Madagascar	4.45 	5.46 	4.76 	0.07 	16.43 	17.21 	4.52 	21.89 	21.97 
MWI	Malawi	2.47 	6.30 	6.09 	0.00 	8.08 	12.85 	2.47 	14.37 	18.93 
MLI	Mali	4.82 	6.44 	6.43 	0.00 	7.15 	10.51 	4.82 	13.59 	16.95 
MRT	Mauritania	12.92 	15.92 	19.79 	0.65 	26.82 	24.18 	13.57 	42.74 	43.98 
MUS	Mauritius	52.84 	72.91 	60.38 	0.00 	49.14 	56.82 	52.84 	122.04 	117.20 
MOZ	Mozambique	5.55 	6.66 	12.36 	2.10 	25.97 	42.25 	7.65 	32.63 	54.61 
NAM	Namibia	18.95 	64.85 	72.50 	0.00 	39.79 	32.85 	18.95 	104.65 	105.35 
NER	Niger	2.94 	2.73 	2.36 	3.52 	1.59 	2.60 	6.45 	4.32 	4.96 
NGA	Nigeria	14.99 	22.25 	22.69 	18.95 	26.80 	13.89 	33.94 	49.05 	36.58 
RWA	Rwanda	10.44 	14.19 	13.40 	2.41 	39.64 	46.22 	12.85 	53.83 	59.62 
STP	Sao Tome and Principe	27.66 	26.45 	26.97 	1.45 	52.28 	36.42 	29.11 	78.73 	63.39 
SEN	Senegal	4.56 	7.02 	6.52 	3.63 	21.99 	17.28 	8.19 	29.00 	23.80 
SYC	Seychelles	54.80 	195.92 	242.01 	0.00 	50.73 	54.45 	54.80 	246.65 	296.47 
SLE	Sierra Leone	11.91 	9.31 	23.53 	6.54 	2.75 	21.94 	18.45 	12.06 	45.48 
ZAF	South Africa	16.72 	61.78 	78.19 	4.36 	36.78 	31.95 	21.08 	98.56 	110.14 
SSD	South Sudan	0.00 	6.17 	7.90 	0.00 	9.74 	11.81 	0.00 	15.91 	19.70 
TZA	Tanzania	4.75 	6.78 	7.61 	3.05 	12.00 	21.08 	7.80 	18.77 	28.68 
TGO	Togo	3.56 	5.14 	6.30 	0.90 	27.90 	23.93 	4.46 	33.04 	30.24 
UGA	Uganda	14.74 	18.77 	25.68 	58.88 	45.98 	45.26 	73.62 	64.75 	70.94 
ZMB	Zambia	2.81 	17.26 	34.96 	3.58 	18.15 	20.98 	6.39 	35.41 	55.94 
ZWE	Zimbabwe	15.60 	23.67 	38.15 	11.67 	24.48 	25.90 	27.27 	48.15 	64.04 
