iso_a3	name_long	Nurses and midwives density 2013	Nurses and midwives density 2018	Nurses and midwives density 2022
DZA	Algeria	2.931267462	15.89739043	25.35363551
AGO	Angola	0.011473591	15.19495735	18.75579633
BEN	Benin	5.648610176	3.739316933	5.952281099
BWA	Botswana	32.99992153	31.18615278	30.52127973
BFA	Burkina Faso	4.415298297	8.284327699	10.25634828
BDI	Burundi	6.510615836	8.105470301	7.40965037
CMR	Cameroon	8.820381965	4.233005266	6.500913959
CPV	Cape Verde	7.463792273	13.91803068	16.31966309
CAF	Central African Republic	1.740785938	3.217018203	2.124842548
TCD	Chad	3.069585893	3.675290194	2.421326474
COM	Comoros	4.217946289	15.8956401	16.3840152
COG	Republic of Congo	9.467558079	11.30294049	11.08030832
CIV	Ivory Coast	5.621456062	8.089358007	9.463679007
COD	Democratic Republic of the Congo	8.353931726	12.33554515	11.9538462
GNQ	Equatorial Guinea	0	2.702897926	8.367228939
ERI	Eritrea	12.92938559	14.55864957	13.77295498
SWZ	Eswatini	33.39834162	40.67466516	43.73911151
ETH	Ethiopia	0.713297134	7.012813293	13.43840991
GAB	Gabon	2.297307918	31.10385142	23.74055121
GMB	Gambia	12.44782327	7.435839807	6.682960148
GHA	Ghana	17.68935293	43.9411032	44.23672178
GIN	Guinea	5.688607318	6.420618876	4.265709632
GNB	Guinea-Bissau	5.183323246	7.381992665	9.85958404
KEN	Kenya	8.995282411	11.99139901	20.32224819
LSO	Lesotho	0	43.88046134	17.41016453
LBR	Liberia	1.820517526	19.25597687	10.20751445
MDG	Madagascar	2.898922627	3.186257775	2.888721673
MWI	Malawi	2.242153096	4.332018012	5.002617823
MLI	Mali	3.656779649	4.243941773	3.650152464
MRT	Mauritania	11.25847224	11.52267017	16.55990249
MUS	Mauritius	30.70447121	42.86768029	39.75376668
MOZ	Mozambique	4.236145237	4.817175955	9.266741339
NAM	Namibia	18.6435988	53.87664738	60.6748963
NER	Niger	2.385649775	2.220395589	2.056700725
NGA	Nigeria	10.08406737	15.20150273	16.81458602
RWA	Rwanda	9.23040933	11.82271592	11.24452341
STP	Sao Tome and Principe	24.41202124	21.57619805	20.46290761
SEN	Senegal	4.139585073	4.874506811	4.630086645
SYC	Seychelles	43.32361395	138.6989457	135.9513612
SLE	Sierra Leone	11.90691814	7.820608372	20.84311849
ZAF	South Africa	10.89995518	50.13251305	66.32751345
SSD	South Sudan	0	5.231195413	6.918250606
TZA	Tanzania	4.223037835	5.498322676	4.87650354
TGO	Togo	3.005813632	4.040176078	5.078712988
UGA	Uganda	13.36666518	14.48715591	22.67829442
ZMB	Zambia	1.820153835	13.55581131	29.56237425
ZWE	Zimbabwe	13.81144806	19.08560246	34.3971525
