iso_a3	name_long	Pharmacists density 2013	Pharmacists density 2018	Pharmacists density 2022
DZA	Algeria	0.00	4.85	3.04
AGO	Angola	0.00	1.25	0.67
BEN	Benin	2.04	0.29	0.33
BWA	Botswana	0.00	2.41	2.25
BFA	Burkina Faso	0.20	0.39	0.35
BDI	Burundi	0.00	0.10	0.10
CMR	Cameroon	0.62	0.14	0.35
CPV	Cape Verde	0.00	4.62	0.61
CAF	Central African Republic	0.04	0.07	0.00
TCD	Chad	0.05	0.28	0.29
COM	Comoros	0.23	0.71	1.33
COG	Republic of Congo	0.00	0.44	0.21
CIV	Ivory Coast	2.11	1.06	0.62
COD	Democratic Republic of the Congo	0.04	0.22	0.13
GNQ	Equatorial Guinea	0.00	0.07	0.63
ERI	Eritrea	0.00	2.18	1.52
SWZ	Eswatini	0.00	3.90	1.46
ETH	Ethiopia	0.00	1.58	2.91
GAB	Gabon	0.00	1.52	1.76
GMB	Gambia	0.49	0.63	0.36
GHA	Ghana	0.00	0.74	2.16
GIN	Guinea	0.13	0.20	0.18
GNB	Guinea-Bissau	0.00	0.43	0.39
KEN	Kenya	0.49	0.46	1.40
LSO	Lesotho	0.00	3.18	2.62
LBR	Liberia	0.00	2.19	1.40
MDG	Madagascar	0.01	0.12	0.01
MWI	Malawi	0.11	0.36	0.41
MLI	Mali	0.00	0.71	0.80
MRT	Mauritania	0.00	0.23	0.23
MUS	Mauritius	3.56	7.45	2.73
MOZ	Mozambique	0.59	0.80	1.15
NAM	Namibia	0.00	3.77	4.12
NER	Niger	0.03	0.03	0.02
NGA	Nigeria	1.15	1.54	1.08
RWA	Rwanda	0.10	0.87	0.79
STP	Sao Tome and Principe	0.00	1.75	1.63
SEN	Senegal	0.38	0.14	0.24
SYC	Seychelles	0.41	18.14	12.43
SLE	Sierra Leone	0.00	0.23	1.22
ZAF	South Africa	3.89	2.82	3.25
SSD	South Sudan	0.00	0.49	0.41
TZA	Tanzania	0.13	0.53	1.20
TGO	Togo	0.02	0.28	0.37
UGA	Uganda	0.34	0.13	0.75
ZMB	Zambia	0.80	1.13	1.61
ZWE	Zimbabwe	0.67	2.14	1.58
