Country	2013	2018	Doctors stock 2022	Doctors graduates
Algeria	0	73168	48033.82435	0
Angola	0	6593	8693	611
Benin	0	908	2608	780
Botswana	819	925	992	60
Burkina Faso	803	1684	3323	1492
Burundi	554	1084	1014.861039	325
Cameroon	1842	3259	3759	800
Cabo Verde	308	452	2644	0
Central African Republic	324	335	146.3895782	18
Chad	573	803	1507	330
Comoros	123	220	354	0
Congo	0	544	1042	60
Cote d'Ivoire	5240	5602	6327.55198	254
DRC	6418	31546	21289.95872	6020
Equatorial Guinea	0	246	274.682376	767
Eritrea	172	280	298.8176475	0
Eswatini	0	278	687	0
Ethiopia	0	11263	23741	3114
Gabon	0	1368	1265.38982	46
Gambia	213	298	273.8672273	23
Ghana	2730	4406	4726	1566
Guinea	1844	2787	341.3416974	767
Guinea-Bissau	354	578	530.8737643	0
Kenya	8682	8042	12792	558
Lesotho	0	998	536.6097786	8
Liberia	168	693	954	29
Madagascar	3523	5230	5230	316
Malawi	200	2760	1103.563775	115
Mali	1971	2866	4402	0
Mauritania	622	1626	1273.034694	0
Mauritius	2046	2395	1833.655499	432
Mozambique	1452	2473	5719	819
Namibia	0	1445	1597	475
Niger	946	1065	705.6693676	370
Nigeria	65759	83907	86181	4340
Rwanda	1104	1648	1648	11
Sao Tome and Principe	63	60	105	0
Senegal	0	2883	2560.862306	434
Seychelles	93	240	828	10
Sierra Leone	0	566	1106	217
South Africa	0	43503	48021	998
South Sudan	0	411	456	0
Tanzania	1481	2885	8693	330
Togo	361	611	730	77
Uganda	3370	17186	9051.781328	1997
Zambia	0	4021	6531	100
Zimbabwe	1114	3026	3131.598366	265
