iso_a3	all 2018	all 2022	all 2024
AGO	19.5	22.2	17.9
BDI	11.0	9.8	23.1
BEN	9.9	10.3	14.1
BFA	10.3	13.6	12.0
BWA	40.6	39.2	38.9
CAF	4.8	3.1	25.0
CIV	20.2	14.5	17.1
CMR	8.0	8.5	18.2
COD	16.9	14.9	18.2
COG	14.0	14.9	26.6
COM	22.0	24.4	23.0
CPV	31.4	65.1	30.7
DZA	56.9	81.3	58.7
ERI	21.8	18.5	19.9
ETH	11.8	21.7	19.8
GAB	43.3	33.7	30.8
GHA	48.1	51.2	86.0
GIN	9.2	6.9	9.6
GMB	10.6	8.9	10.0
GNB	12.1	13.8	17.7
GNQ	5.3	13.4	7.5
KEN	18.8	31.3	24.5
LBR	23.1	13.7	12.8
LSO	55.7	26.0	42.2
MDG	5.7	5.0	12.7
MLI	7.2	7.1	11.3
MOZ	11.4	15.7	15.4
MRT	17.1	20.9	7.9
MUS	77.6	65.0	82.1
MWI	6.9	6.3	9.4
NAM	78.6	77.5	90.1
NER	3.4	3.3	6.0
NGA	39.3	26.4	23.5
RWA	17.4	16.3	18.9
SEN	8.2	7.6	7.3
SLE	10.5	24.7	14.9
SSD	7.3	9.3	11.1
STP	33.4	33.4	23.6
SWZ	54.6	56.4	57.1
SYC	209.7	255.2	121.4
TCD	5.5	4.7	7.7
TGO	8.2	8.4	6.0
TZA	8.6	19.4	13.8
UGA	20.6	29.3	33.3
ZAF	65.8	82.6	75.3
ZMB	20.3	37.0	48.5
ZWE	25.6	39.8	25.0
