iso_a3	Country	Number of cadres reported in 2013 	Number of cadres reported in 2018	Number of cadres reported in 2022	Percentage of occupations 2013	Percentage of occupations 2018	Percentage of occupations 2022
DZA	Algeria	5	30	30	15.15151515	90.90909091	90.90909091
AGO	Angola	4	28	32	12.12121212	84.84848485	96.96969697
BEN	Benin	9	25	26	27.27272727	75.75757576	78.78787879
BWA	Botswana	8	25	25	24.24242424	75.75757576	75.75757576
BFA	Burkina Faso	13	30	32	39.39393939	90.90909091	96.96969697
BDI	Burundi	11	25	27	33.33333333	75.75757576	81.81818182
CMR	Cameroon	7	16	33	21.21212121	48.48484848	100
CPV	Cape Verde	4	29	29	12.12121212	87.87878788	87.87878788
CAF	Central African Republic	10	26	27	30.3030303	78.78787879	81.81818182
TCD	Chad	6	28	30	18.18181818	84.84848485	90.90909091
COM	Comoros	8	17	17	24.24242424	51.51515152	51.51515152
COG	Republic of Congo	8	20	21	24.24242424	60.60606061	63.63636364
CIV	Ivory Coast	17	28	29	51.51515152	84.84848485	87.87878788
COD	Democratic Republic of the Congo	11	21	21	33.33333333	63.63636364	63.63636364
GNQ	Equatorial Guinea	2	13	19	6.060606061	39.39393939	57.57575758
ERI	Eritrea	4	20	23	12.12121212	60.60606061	69.6969697
SWZ	Eswatini	5	29	32	15.15151515	87.87878788	96.96969697
ETH	Ethiopia	4	27	28	12.12121212	81.81818182	84.84848485
GAB	Gabon	4	33	33	12.12121212	100	100
GMB	Gambia	16	23	25	48.48484848	69.6969697	75.75757576
GHA	Ghana	12	28	31	36.36363636	84.84848485	93.93939394
GIN	Guinea	8	19	20	24.24242424	57.57575758	60.60606061
GNB	Guinea-Bissau	8	29	29	24.24242424	87.87878788	87.87878788
KEN	Kenya	9	18	25	27.27272727	54.54545455	75.75757576
LSO	Lesotho	2	29	29	6.060606061	87.87878788	87.87878788
LBR	Liberia	4	24	24	12.12121212	72.72727273	72.72727273
MDG	Madagascar	9	25	25	27.27272727	75.75757576	75.75757576
MWI	Malawi	6	23	29	18.18181818	69.6969697	87.87878788
MLI	Mali	5	23	23	15.15151515	69.6969697	69.6969697
MRT	Mauritania	6	26	26	18.18181818	78.78787879	78.78787879
MUS	Mauritius	4	26	30	12.12121212	78.78787879	90.90909091
MOZ	Mozambique	17	28	31	51.51515152	84.84848485	93.93939394
NAM	Namibia	4	28	31	12.12121212	84.84848485	93.93939394
NER	Niger	8	24	26	24.24242424	72.72727273	78.78787879
NGA	Nigeria	7	26	26	21.21212121	78.78787879	78.78787879
RWA	Rwanda	13	18	20	39.39393939	54.54545455	60.60606061
STP	Sao Tome and Principe	6	14	14	18.18181818	42.42424242	42.42424242
SEN	Senegal	15	31	32	45.45454545	93.93939394	96.96969697
SYC	Seychelles	4	20	24	12.12121212	60.60606061	72.72727273
SLE	Sierra Leone	8	25	26	24.24242424	75.75757576	78.78787879
ZAF	South Africa	12	25	28	36.36363636	75.75757576	84.84848485
SSD	South Sudan		27	27	0	81.81818182	81.81818182
TZA	Tanzania	16	26	27	48.48484848	78.78787879	81.81818182
TGO	Togo	11	32	32	33.33333333	96.96969697	96.96969697
UGA	Uganda	16	23	24	48.48484848	69.6969697	72.72727273
ZMB	Zambia	12	24	27	36.36363636	72.72727273	81.81818182
ZWE	Zimbabwe	20	30	33	60.60606061	90.90909091	100
