iso_a3	Doc2018	Doc2022	Doc2024
AGO	2.1	2.4	1.9
BDI	0.9	0.8	1.0
BEN	0.8	2.0	2.1
BFA	0.8	1.5	1.1
BWA	3.8	3.8	4.2
CAF	0.7	0.3	1.0
CIV	2.2	2.2	2.5
CMR	1.3	1.3	4.0
COD	3.6	2.2	2.0
COG	1.0	1.7	4.9
COM	2.8	4.2	4.0
CPV	7.9	44.6	7.2
DZA	17.5	16.8	16.0
ERI	0.8	0.8	0.9
ETH	1.0	1.9	1.9
GAB	6.2	5.3	4.7
GHA	1.4	1.4	3.8
GIN	2.2	2.1	2.1
GMB	1.2	1.0	0.9
GNB	3.0	2.5	2.5
GNQ	1.6	1.6	1.4
KEN	1.6	2.4	2.8
LBR	1.4	1.8	0.7
LSO	4.5	2.3	2.1
MDG	1.9	1.8	1.5
MLI	1.4	1.9	3.1
MOZ	0.8	1.7	1.7
MRT	3.8	2.7	2.4
MUS	18.5	14.1	30.2
MWI	1.5	0.5	0.8
NAM	6.0	6.2	7.2
NER	0.5	0.3	0.4
NGA	4.2	3.9	4.1
RWA	1.3	1.2	1.7
SEN	1.9	1.5	1.2
SLE	0.7	1.3	1.3
SSD	0.4	0.4	1.5
STP	2.8	4.6	4.0
SWZ	2.4	5.7	5.5
SYC	23.3	77.3	16.2
TCD	0.5	0.9	1.1
TGO	0.8	0.8	0.8
TZA	0.5	1.3	2.1
UGA	4.1	1.9	2.0
ZAF	7.6	8.0	7.6
ZMB	2.3	3.3	3.2
ZWE	2.0	1.9	1.8
