iso_a3	DNM2018	DNM2022	DNM2024
AGO	17.3	21.2	15.6
BDI	9.0	8.2	15.0
BEN	4.5	7.9	11.6
BFA	9.1	11.7	10.2
BWA	35.0	34.3	34.2
CAF	3.9	2.4	13.4
CIV	10.3	11.7	13.4
CMR	5.5	7.8	14.6
COD	16.0	14.1	17.5
COG	12.3	12.8	20.5
COM	18.7	20.6	19.4
CPV	21.8	60.9	27.8
DZA	44.6	42.2	21.4
ERI	15.4	14.6	15.8
ETH	8.0	15.4	13.0
GAB	37.3	29.0	26.4
GHA	45.4	45.6	77.6
GIN	8.6	6.4	6.6
GMB	8.7	7.7	8.4
GNB	10.4	12.4	16.2
GNQ	4.3	10.0	4.6
KEN	13.6	22.7	17.6
LBR	20.7	12.0	11.2
LSO	48.4	19.7	35.9
MDG	5.1	4.7	12.1
MLI	5.7	5.6	10.6
MOZ	5.7	11.0	10.4
MRT	15.3	19.2	6.4
MUS	61.4	53.9	70.7
MWI	5.8	5.5	6.5
NAM	59.9	66.9	82.7
NER	2.7	2.3	5.0
NGA	19.4	20.8	16.4
RWA	13.1	12.4	14.6
SEN	6.7	6.1	5.8
SLE	8.5	22.1	12.3
SSD	5.6	7.3	8.5
STP	24.4	25.1	15.7
SWZ	43.1	49.5	47.6
SYC	162.0	213.2	89.7
TCD	4.2	3.3	5.0
TGO	4.8	5.9	4.8
TZA	6.0	6.2	7.1
UGA	18.6	24.6	25.0
ZAF	57.7	74.3	65.6
ZMB	15.8	32.8	35.7
ZWE	21.1	36.3	21.4
