iso_a3	DNMPD2018	DNMPD2022	DNMPD2024
AGO	19.4	22.2	16.1
BDI	9.2	8.3	22.1
BEN	9.1	8.6	13.0
BFA	9.6	12.9	11.5
BWA	38.1	37.1	37.0
CAF	4.4	2.8	24.5
CIV	20.0	14.3	16.5
CMR	5.8	8.4	15.8
COD	16.2	14.3	17.7
COG	12.8	13.0	21.2
COM	19.9	22.3	21.0
CPV	29.2	63.0	30.0
DZA	53.2	77.9	55.4
ERI	18.6	16.8	18.1
ETH	9.9	18.7	16.8
GAB	39.3	31.6	28.8
GHA	47.1	48.8	82.0
GIN	9.0	6.7	9.0
GMB	9.5	8.3	9.2
GNB	10.9	12.9	16.6
GNQ	4.4	11.2	5.6
KEN	18.8	29.2	24.0
LBR	22.9	13.4	12.6
LSO	52.9	23.0	39.0
MDG	5.5	4.8	12.5
MLI	6.4	6.4	11.1
MOZ	8.8	14.4	14.6
MRT	16.1	19.9	7.1
MUS	73.1	60.6	77.5
MWI	6.4	6.1	9.0
NAM	69.2	73.0	89.0
NER	3.0	3.0	5.6
NGA	22.3	22.7	19.7
RWA	14.2	13.4	16.1
SEN	7.3	7.1	6.8
SLE	9.7	24.3	14.5
SSD	6.7	8.5	10.9
STP	26.4	27.0	17.5
SWZ	48.2	51.9	52.7
SYC	195.9	242.0	113.9
TCD	4.5	3.6	6.6
TGO	6.4	6.8	5.4
TZA	7.1	18.5	12.6
UGA	18.8	25.7	29.1
ZAF	63.3	81.6	75.3
ZMB	19.3	35.5	45.8
ZWE	24.4	38.8	23.5
