Occupation	HWF Need Availability Ratio initial	Needed Density 2022	HWF Need Availability Ratio	iso_a3
Algeria	0.586338848	95.82723244	58.63388479	DZA
Angola	0.390915027	71.78844321	39.09150274	AGO
Benin	0.1469021	72.36859686	14.69021001	BEN
Botswana	0.541101476	85.10174397	54.1101476	BWA
Burkina Faso	0.203682671	77.58482587	20.36826708	BFA
Burundi	0.150903648	69.1818552	15.0903648	BDI
Cabo Verde	0.888339112	84.4081966	88.83391121	CPV
Cameroon	0.1424473	72.85574575	14.24472995	CMR
Central African Republic	0.040143644	84.6356064	4.014364372	CAF
Chad	0.052353043	80.3187343	5.23530429	TCD
Comoros	0.309835628	77.23645803	30.98356277	COM
Congo	0.22042142	75.0520757	22.04214204	COG
Cote d Ivoire	0.218392757	72.05239054	21.83927568	CIV
Democratic Republic of the Congo	0.251481223	75.14106844	25.14812234	COD
Equatorial Guinea	0.198566784	72.52913794	19.85667838	GNQ
Eritrea	0.25708446	69.80563943	25.70844599	ERI
Eswatini	0.750194852	77.7052126	75.01948521	SWZ
Ethiopia	0.255049003	85.2315674	25.5049003	ETH
Gabon	0.455560432	80.84662562	45.55604315	GAB
Gambia	0.151961647	67.34235665	15.19616469	GMB
Ghana	0.798703508	72.94358358	79.87035081	GHA
Guinea	0.085262022	67.01025066	8.526202247	GIN
Guinea-Bissau	0.18149375	79.92014258	18.149375	GNB
Kenya	0.39120185	69.78705569	39.12018502	KEN
Lesotho	0.323971895	77.8829034	32.39718946	LSO
Liberia	0.200644481	75.13091558	20.06444814	LBR
Madagascar	0.092677296	64.07701659	9.267729635	MDG
Malawi	0.105074558	69.88970546	10.50745576	MWI
Mali	0.113382533	76.97110355	11.33825332	MLI
Mauritania	0.301153457	81.69924669	30.11534572	MRT
Mauritius	0.488457158	132.0391699	48.84571584	MUS
Mozambique	0.198254081	70.02787437	19.82540805	MOZ
Namibia	1.029440787	79.35312742	102.9440787	NAM
Niger	0.043638664	72.84670023	4.363866404	NER
Nigeria	0.376903185	70.58597054	37.69031849	NGA
Rwanda	0.245344809	69.55514441	24.53448094	RWA
Sao Tome and Principe	0.435019504	80.49679292	43.50195037	STP
Senegal	0.094540557	86.04270312	9.45405572	SEN
Seychelles	2.434338946	109.2538454	243.4338946	SYC
Sierra Leone	0.393883873	69.78171422	39.3883873	SLE
South Africa	0.934717151	93.82670303	93.47171507	ZAF
South Sudan	0.108870705	73.18031555	10.8870705	SSD
Togo	0.096122343	79.45215594	9.612234335	TGO
Uganda	0.447714517	69.14152678	44.77145175	UGA
United Republic of Tanzania	0.123550146	71.41584378	12.35501461	TZA
Zambia	0.609164209	72.49262157	60.91642086	ZMB
Zimbabwe	0.682195871	72.82551314	68.21958714	ZWE
