iso_a3	NM2018	NM2022	NM2024
AGO	15.2	18.8	13.7
BDI	8.1	7.4	13.9
BEN	3.7	6.0	9.5
BFA	8.3	10.3	9.2
BWA	31.2	30.5	30.0
CAF	3.2	2.1	12.4
CIV	8.1	9.5	10.9
CMR	4.2	6.5	10.6
COD	12.3	12.0	15.5
COG	11.3	11.1	15.6
COM	15.9	16.4	15.3
CPV	13.9	16.3	20.6
DZA	27.1	25.4	5.4
ERI	14.6	13.8	14.9
ETH	7.0	13.4	11.1
GAB	31.1	23.7	21.7
GHA	43.9	44.2	73.8
GIN	6.4	4.3	4.5
GMB	7.4	6.7	7.5
GNB	7.4	9.9	13.7
GNQ	2.7	8.4	3.2
KEN	12.0	20.3	14.8
LBR	19.3	10.2	10.5
LSO	43.9	17.4	33.8
MDG	3.2	2.9	10.5
MLI	4.2	3.7	7.5
MOZ	4.8	9.3	8.7
MRT	11.5	16.6	4.0
MUS	42.9	39.8	40.4
MWI	4.3	5.0	5.7
NAM	53.9	60.7	75.5
NER	2.2	2.1	4.6
NGA	15.2	16.8	12.3
RWA	11.8	11.2	12.8
SEN	4.9	4.6	4.6
SLE	7.8	20.8	11.1
SSD	5.2	6.9	7.0
STP	21.6	20.5	11.7
SWZ	40.7	43.7	42.1
SYC	138.7	135.9	73.5
TCD	3.7	2.4	3.9
TGO	4.0	5.1	4.0
TZA	5.5	4.9	5.0
UGA	14.5	22.7	23.0
ZAF	50.1	66.3	58.0
ZMB	13.6	29.6	32.6
ZWE	19.1	34.4	19.6
