Country	Country	"Doctors and Nurses Density per 10,000 (2022)"	Ratio stock to graduates	Population	"Graduates Doctors and Nurses per 10,000"
Seychelles	SYC	196.5113402	42.1	107118.5	4.667727797
South Africa	ZAF	74.34519332	107.2452432	59893885.5	0.693226022
Namibia	NAM	66.82991113	25.41529144	2567012.5	2.629515828
Cabo Verde	CPV	60.44007455	13.99805003	593149.5	4.317749572
Mauritius	MUS	49.50125199	10.59725575	1299469	4.67113875
Eswatini	SWZ	49.33964843	28.68186304	1201670.5	1.720238618
Ghana	GHA	38.51439113	5.645674869	33475870.5	6.821928649
Algeria	DZA	40.15034555	18.36919683	44903225	2.185743118
Zimbabwe	ZWE	30.43318879	36.38725155	16320537	0.836369539
Botswana	BWA	34.29271839	16.4	2630296	2.091019414
Zambia	ZMB	28.22805346	10.48932616	20017675	2.691121721
Gabon	GAB	25.18630635	42.6736858	2388992.5	0.59020696
São Tomé and Príncipe	STP	23.96873949	12.7265085	227379.5	1.883371192
Uganda	UGA	17.61894445	5.203699295	47249585	3.385849844
Kenya	KEN	22.66457442	75.21560197	54027487	0.3013281
Sierra Leone	SLE	19.48936742	8.505070994	8605718	2.291499675
Angola	AGO	21.18923863	21.17673513	35588987	1.000590435
Nigeria	NGA	14.0413791	17.86678311	218541211.5	0.785892962
Comoros	COM	13.61146086	17.77642299	836773.5	0.765703025
Lesotho	LSO	7.685273286	4.614817478	2305825.5	1.665347183
Mauritania	MRT	16.4185103	38.96465679	4736139	0.421369304
Ethiopia	ETH	12.56306491	16.46865703	123379924.5	0.762846957
Eritrea	ERI	14.40220489	11.49549056	3684031.5	1.252856919
Democratic Republic of the Congo	COD	13.79715849	4.541270527	99010212	3.038171456
Republic of Congo	COG	11.07961512	55.125	5970424	0.20099075
Rwanda	RWA	10.99627814	41.39136544	13776697.5	0.265665991
Guinea-Bissau	GNB	11.4452567	5.824355761	2105565.5	1.96506827
Liberia	LBR	10.14165342	58.45429661	5302681	0.173497142
Burkina Faso	BFA	7.622907923	6.492862509	22673762	1.174044254
Côte d'Ivoire	CIV	9.073967758	20.263906	28160542.5	0.447789669
Mozambique	MOZ	6.941866621	16.35954253	32969518.5	0.424331341
Equatorial Guinea	GNQ	9.849390987	0.954125145	1674908	10.32295505
Burundi	BDI	8.058341591	5.796239419	12889576.5	1.390270658
Benin	BEN	6.366424461	8.197685632	13352864	0.776612418
Cameroon	CMR	7.247836624	5.847398844	27914536.5	1.239497564
The Gambia	GMB	6.294441732	10.64544311	2705992	0.591280388
South Sudan	SSD	4.568794374	14.88642606	10913163.5	0.306910091
Tanzania	TZA	6.203724745	7.390505638	65497748	0.839418174
Senegal	SEN	4.214410417	7.18293534	17316449	0.586725373
Togo	TGO	3.797168589	10.59936909	8848698.5	0.358244775
Mali	MLI	4.748691891	5.553927816	22593590.5	0.855015054
Malawi	MWI	5.241557403	21.34843069	20405316.5	0.245524249
Madagascar	MDG	3.306124056	3.427871148	29611714	0.964483177
Guinea	GIN	3.867665187	3.096666018	13859340.5	1.248977179
Chad	TCD	2.761420125	1.505892841	17723314.5	1.83374278
Central African Republic	CAF	1.424716405	6.45953095	5579143.5	0.22056035
Niger	NER	2.011093595	7.808399063	26207976.5	0.257555176
