Year	UHC Index  (SDG 3.8.1)	Infectious diseases	NCDs	RMNCH	Service capacity and access
2000	24.93	8.31	42.73	44.23	28.19
2005	29.72	14.16	46.64	49.07	28.02
2010	38.19	31.29	50.41	54.10	28.37
2015	44.28	43.00	54.01	56.59	32.94
2017	46.24	48.03	55.56	57.70	33.44
2019	46.52	49.90	56.98	58.79	31.29
2021	47.29	52.01	57.07	58.91	32.02
2023	49.49	56.48	59.83	61.38	32.09
2025	51.24	60.38	61.37	63.04	32.56
2027	53.43	64.45	64.13	65.79	32.44
2029	55.88	69.41	66.73	68.71	33.31
2031	58.69	74.33	70.22	72.79	33.42
